taxon_id	scientific_name	taxonomic_rank	phylum	disease_id	disease_name	mesh_id	n_associations	n_studies	n_studies_enriched	n_studies_depleted	n_sources	mean_abs_effect_size	consensus_direction	agreement_ratio	has_conflict	specificity_class	n_diseases
8171	Lactococcus	genus	Firmicutes	28066	COVID-19	D000086382	4	4	0	4	1	2.711	depleted	1.000	0	broad	16
155	Parvimonas	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	3	0	1	3.259	enriched	1.000	0	broad	16
8277	Merdimmobilis	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	2	2	2	0	1	2.29	enriched	1.000	0	broad	16
8488	Anaeromassilibacillus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	3	2	2	0	1	2.43	enriched	1.000	0	broad	16
8488	Anaeromassilibacillus	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	2	2	2	0	1	2.11	enriched	1.000	0	broad	16
8606	Oxalobacter	genus	Proteobacteria	73716	Parkinson Disease	D010300	2	2	2	0	1	2.313	enriched	1.000	0	broad	16
9313	Peptostreptococcus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	17	16	16	1	1	3.261	enriched	0.941	1	broad	17
9112	Porphyromonas	genus	Bacteroidetes	20491	Colorectal Neoplasms	D015179	9	9	9	0	1	4.014	enriched	1.000	0	broad	17
7682	Wujia	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	6	1	5	1	3.491	depleted	0.833	1	broad	17
7682	Wujia	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	1	6	1	3.555	depleted	0.857	1	broad	17
8037	Faecalibacillus	genus	Firmicutes	12713	Crohn Disease	D003424	6	6	1	5	1	3.096	depleted	0.833	1	broad	17
46	Peptoniphilus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	8	5	5	0	1	2.788	enriched	1.000	0	broad	17
9313	Peptostreptococcus	genus	Firmicutes	12713	Crohn Disease	D003424	5	5	5	0	1	2.974	enriched	1.000	0	broad	17
46	Peptoniphilus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	3.07	enriched	1.000	0	broad	17
886	Cloacibacillus	genus	Synergistetes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	2.854	enriched	1.000	0	broad	17
8037	Faecalibacillus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	0	3	1	2.497	depleted	1.000	0	broad	17
8042	Frisingicoccus	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	4	3	3	0	1	2.546	enriched	1.000	0	broad	17
46	Peptoniphilus	genus	Firmicutes	28066	COVID-19	D000086382	2	2	2	0	1	3.571	enriched	1.000	0	broad	17
184	Ralstonia	genus	Proteobacteria	20491	Colorectal Neoplasms	D015179	3	2	2	0	1	2.807	enriched	1.000	0	broad	17
7676	Oliverpabstia	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	2	2	0	2	1	2.58	depleted	1.000	0	broad	17
7676	Oliverpabstia	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	2	2	0	2	1	2.529	depleted	1.000	0	broad	17
7676	Oliverpabstia	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	3	2	2	0	1	3.056	enriched	1.000	0	broad	17
7682	Wujia	genus	Firmicutes	3086	Arthritis, Rheumatoid	D001172	2	2	0	2	1	3.135	depleted	1.000	0	broad	17
7682	Wujia	genus	Firmicutes	28066	COVID-19	D000086382	2	2	0	2	1	3.941	depleted	1.000	0	broad	17
7682	Wujia	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	2	2	0	2	1	3.531	depleted	1.000	0	broad	17
7757	Enterorhabdus	genus	Actinobacteria	3086	Arthritis, Rheumatoid	D001172	2	2	0	2	1	2.837	depleted	1.000	0	broad	17
7882	Lacticaseibacillus	genus	Firmicutes	2536	Anorexia Nervosa	D000856	2	2	2	0	1	2.753	enriched	1.000	0	broad	17
7882	Lacticaseibacillus	genus	Firmicutes	12713	Crohn Disease	D003424	2	2	2	0	1	3.089	enriched	1.000	0	broad	17
7891	Weissella	genus	Firmicutes	28066	COVID-19	D000086382	2	2	0	2	1	3.041	depleted	1.000	0	broad	17
7891	Weissella	genus	Firmicutes	62143	Renal Insufficiency, Chronic	D051436	2	2	2	0	1	2.645	enriched	1.000	0	broad	17
8037	Faecalibacillus	genus	Firmicutes	28066	COVID-19	D000086382	2	2	0	2	1	3.639	depleted	1.000	0	broad	17
8037	Faecalibacillus	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	2	2	0	2	1	3.589	depleted	1.000	0	broad	17
8037	Faecalibacillus	genus	Firmicutes	69716	Neuroblastoma	D009447	2	2	0	2	1	3.214	depleted	1.000	0	broad	17
8042	Frisingicoccus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	2	2	0	1	2.67	enriched	1.000	0	broad	17
8160	Corynebacterium	genus	Actinobacteria	28066	COVID-19	D000086382	2	2	2	0	1	3.586	enriched	1.000	0	broad	17
9112	Porphyromonas	genus	Bacteroidetes	7798	Liver Cirrhosis	D008103	2	2	2	0	1	2.333	enriched	1.000	0	broad	17
9313	Peptostreptococcus	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	2	2	2	0	1	2.719	enriched	1.000	0	broad	17
9313	Peptostreptococcus	genus	Firmicutes	28066	COVID-19	D000086382	2	2	2	0	1	3.054	enriched	1.000	0	broad	17
7685	Waltera	genus	NULL	12713	Crohn Disease	D003424	8	6	1	6	1	3.667	depleted	0.857	1	broad	18
7700	Faecalicatena	genus	Firmicutes	12713	Crohn Disease	D003424	6	6	1	5	1	2.758	depleted	0.833	1	broad	18
7700	Faecalicatena	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	6	6	1	5	1	2.92	depleted	0.833	1	broad	18
8047	Gemmiger	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	7	6	0	6	1	3.523	depleted	1.000	0	broad	18
8047	Gemmiger	genus	Firmicutes	12713	Crohn Disease	D003424	7	6	1	6	1	3.533	depleted	0.857	1	broad	18
8047	Gemmiger	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	5	5	1	4	1	4.089	depleted	0.800	1	broad	18
7685	Waltera	genus	NULL	12711	Colitis, Ulcerative	D003093	5	4	1	4	1	3.414	depleted	0.800	1	broad	18
7685	Waltera	genus	NULL	20491	Colorectal Neoplasms	D015179	4	4	0	4	1	3.638	depleted	1.000	0	broad	18
7796	Allisonella	genus	NULL	28066	COVID-19	D000086382	4	4	0	4	1	2.611	depleted	1.000	0	broad	18
8000	Anaerotignum	genus	Firmicutes	12713	Crohn Disease	D003424	6	4	0	4	1	2.976	depleted	1.000	0	broad	18
7796	Allisonella	genus	NULL	12711	Colitis, Ulcerative	D003093	3	3	0	3	1	2.367	depleted	1.000	0	broad	18
7796	Allisonella	genus	NULL	12713	Crohn Disease	D003424	4	3	3	0	1	2.458	enriched	1.000	0	broad	18
8292	Staphylococcus	genus	Firmicutes	12713	Crohn Disease	D003424	4	3	3	0	1	3.86	enriched	1.000	0	broad	18
8292	Staphylococcus	genus	Firmicutes	28066	COVID-19	D000086382	3	3	3	0	1	3.13	enriched	1.000	0	broad	18
1644	Pseudomonas	genus	Proteobacteria	20491	Colorectal Neoplasms	D015179	2	2	2	0	1	2.703	enriched	1.000	0	broad	18
1644	Pseudomonas	genus	Proteobacteria	28066	COVID-19	D000086382	2	2	2	0	1	3.067	enriched	1.000	0	broad	18
7685	Waltera	genus	NULL	1	Irritable Bowel Syndrome	D043183	2	2	0	2	1	3.727	depleted	1.000	0	broad	18
7700	Faecalicatena	genus	Firmicutes	48916	Fatigue Syndrome, Chronic	D015673	2	2	0	2	1	2.773	depleted	1.000	0	broad	18
7796	Allisonella	genus	NULL	67066	Lupus Erythematosus, Systemic	D008180	2	2	0	2	1	2.9	depleted	1.000	0	broad	18
7862	Marvinbryantia	genus	Firmicutes	28066	COVID-19	D000086382	2	2	0	2	1	2.685	depleted	1.000	0	broad	18
7862	Marvinbryantia	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	2	2	2	0	1	2.598	enriched	1.000	0	broad	18
